Sentences,Judges_classification
perfect place peaceful vacation,location
amazing location amazing property host best accommodate special requests,location
housekeeping awful,cleanliness
house dirty badly maintained,cleanliness
beach development heavy machinery working front,location
highly recommend anyone looking beautiful rejuvenating experience,location
location amazing,location
set slightly outside city latchi natural area private peaceful feel yet still close enough walk minutes main shops restaurants latchi,location
perfect spot want explore region including beaches like blue lagoon vineyard regions even nearby cities like polis neo chorio paphos,location
house beautiful huge,location
husband stayed several airbnbs cyprus definitely extravagant comfortable,facilities
home away home full kitchen laundry washer nicely landscaped yard pool much space house,facilities
bathrooms beautiful happy find hot water showers always case cyprus,location
loved eating breakfast balcony several,facilities
richards place little pampering end trip usually wouldnt spend much accommodation said ok everyonce dont pick accommodation private pool time,facilities
really good time enjoyed place area sense deserted sort impersonal space,location
guess especially lack kitchen supplies gave felling even salt pepper cupboard mention oil garbage bags,facilities
nice place cheap villa pool,facilities
fantastic value money small villa relaxed area great views,location
simple everything need enjoy area car,location
pool added bonus easy access latsi boat rides seafood akamas region adventure etc,facilities
highly recommended beautiful villa lovely area,location
quiet relaxing location,location
minute walk local restaurant bakery small shop bar watch beautiful sunset sea,location
house nice pool great,facilities
beach restaurants walking distance,location
enviroment nice quit unless unfortenate people renting house next make lot noice,location
well located accommodation pleasant swimming pool matter time day,facilities
autonomous arrival impeccable cleanliness accommodation,cleanliness
pool maintained regularly,cleanliness
owner asked us ok use nd bedroom bed broken gave us free wifi exceptable,facilities
week key holder enter apartment acceptable us agent said problem needed go second bedroom key locked wife went agent bed fully made looked fine,facilities
cleaning lot desired toastermicrowave cooker kettle cleaned us,cleanliness
bathroom cleaned properly mold round edges needs,cleanliness
paying euro cleaning,cleanliness
well equipped furniture kitchen utensils,facilities
location quiet residential area well maintained cared,cleanliness
ants bathroom,cleanliness
clean pool,facilities
area queit many tourists around,location
mandatory rented car since bars beach grocery quite far away,location
accommodation well located clean functional staff available time case concern,cleanliness
aphrodite villa great position right next coast outside latchi,location
main issue although areas aphrodite villa renovated still old singleglazed wooden shutters bad condition dont close properly many gaps peeling varnish rotten places,location
perfect excellent villa amazing location,location
great place first line beach,location
beautiful northern coast,location
beautiful house great location snd clean,cleanliness
excellent place stay wonderful clean well equipped villa amazing location beautiful pool short walk along beachfront wonderful restaurants,location
place vey close latchi beach harbor cozy suitable couples,facilities
lovely stay galateias apartment close marina beach well,location
exactly photos area great opposite sea taverns cafe suvenir shops,location
clean,cleanliness
good location,location
apartment nothing special really comfortable fully equipped,facilities
clean simple,cleanliness
house really great clean calm,cleanliness
lovely villa well situated quiet beautiful views easy access latchi surrounding coastline,location
wedding everything beautiful,location
beautiful place,location
definitely would reccomned apartment location caf downstairs ideal fresh coffeeand salads etc staff really friendly,cleanliness
location great waterworks boat hire mini cruises ypu must go blue lagoon possible,location
really nice apartment communal pool,facilities
beautiful surroundings akamas peninsula beach,location
great location easy walk harbour,location
pool lovely,facilities
clean linen towels,cleanliness
beaches good latchi,location
sylvia great host location ideal within walking distance harbour beaches nice restaurants,location
excellent apartment top block apartments stone throw marina central lachi short walk beaches restaurant,location
nice beach run east along walkway pull bars dips ur fitness orientated,location
communal pool seconds apartment,facilities
great spot cleanliness apartment spot,cleanliness
netflix wifi issues,facilities
lovely clean place friendly responsive host,cleanliness
comfortable clean matched description,cleanliness
close restaurants markets ocean,location
room clean everything need like utensils stuff,cleanliness
wifi connection also pretty good,facilities
thing location area full constructions noisy,location
flat clean nice,cleanliness
theres construction site near building didnt bother much,location
responsive pleasant owner housing course nuances general everything great owner responsive pleasant communication enough balcony terrace sunbeds pools roof easily compensated,facilities
outstanding stay kalecik excellent location great community excellent communication host,location
beach within walking distance one choose spend time pools,location
like walking trek hill great view sea town beyond,location
good location ground floor apartment right next pool,facilities
clean tidy plenty towels bedding,cleanliness
bar site,location
resort quiet far away crowd,location
gabrielas apartment clean everything needed,cleanliness
actually steps swimming pool,facilities
great place quiet coming area,location
recommend renting car area pretty far away season pretty much everything closed nearby,location
nice space clean,cleanliness
bed soft side towels bit thin,facilities
internet passable sometimes choppy,facilities
place truly felt like studio apt austin texas thanks flat nice clean overall except bed sheets towels requested replace experience good overall,facilities
arrived apartment smelled paint floors dirty paint white spots,cleanliness
bed linen dirty old soiled,cleanliness
air conditioner room couldnt sleep normally heat noise neighbors noisy area,location
balcony terrible see people lying sunbathing hotel,facilities
great spacious place perfect tblisi visit,facilities
view balcony best part,facilities
nice view amazing host recommended khatuna helpful,facilities
view fantastic expected,facilities
grumpy neighbors good stay easy find clean host really friendly helpful really good experience,cleanliness
perfect city view,facilities
location min walk things need,location
beach small grocery store restaurants bars,location
private quiet,location
surrounded ocean see sea,location
beautiful,location
clean house nice comfortable clean,cleanliness
pool nice nice temperature,facilities
part could better enjoyed house pool much,facilities
area wasnt nice expected,location
lot construction road sea bit complicated expected,location
also bit far dark dusty walk supermarket restaurants,location
car would nice,location
used kostas taxi lot go fig tree bay area beach,location
great apartment added park able sea apartment,location
pool courtyard nice cafe nearby,facilities
brilliant host quality villa nice clean excellent villa modern comfortable excellent relaxation entertainment cooking facilities,facilities
wifi good full g throughout villa,facilities
getting difficult location precise took us different area complex,location
amenities also good however couldve done items like toilet paper buy,facilities
pool terrace upstairs amazing,facilities
actual location villa great good views good community around,location
villa great location good,location
driving minutes beaches went problem,location
close metro large supermarket minute drive zorbas amazing bakery minute drive could walk,location
beautiful villa peaceful quiet area,location
closest beach minute walk water sports nearby,location
incredibly comfortable want express gratitude everything,facilities
one thing particularly appreciated often pool cleaned dedicated cleaning service,cleanliness
villa great good communication host definitely visit really clean everything need provided,cleanliness
nice outdoor areas enjoy great weather,facilities
recommend getting rental car quiet area bus stop shops restaurants beach bars within walking distance,location
thank much everything host interested alperen children enjoyed pool sea lot resort really beautiful visuals,location
house clean practical place vacation comfortably,cleanliness
however since apartment th floor prepared wait long lines busy periods due limited number elevators,cleanliness
also since pullout beds living room old uncomfortable think apartment suitable people stay,facilities
accommodation pleasant equipment beautiful view pure pole,facilities
place generally okay though need car commute,location
great place stay quiet location everything needed house,location
clean tidy,cleanliness
thank lovely perfectly situated mountain views,location
clean awesome environment,cleanliness
loved stay would come back without thinking enjoyed every bit place enjoyed every bit seaview great floor stayed facilities great apartment pretty good host asked pay security deposit mentioned listing generally airbnb policy,facilities
spacious terrace beautiful,location
also location amazing steps away beach,location
beautiful villa stunning location lovely property lots nice touches,location
sweet local cats quiet relaxing location,location
thank grateful michele fixed problems arrived hot water sewage full pumped poor equipment kitchen,facilities
location great know area booked purposely place needs renovation,location
pool foil floor walls dissolving,cleanliness
kitchen one pot missed handle pan scratched,facilities
terrace couches moldy cushions dirty partially ripped,cleanliness
pity liked property location,location
beach min walk away also beautiful,location
take walk like minutes reach shuttle buses,location
find kitchen equipments whatever need,facilities
location already used say excellent,location
issue sofa bed wasnt comfortable would liked back hurt bit clearly communicated listing didnt detract experience,facilities
despite fact construction happening front amazing view area gorgeous well appointed airbnb exceeded anywhere else stayed northern cyprus,location
new estate elegantly furnished interiors almost beach front one best properties rent around,location
newborn son aquamarine happy comfortable month,facilities
clean modern super pool escape glorious heat,facilities
great place sea,location
pity new houses built front house blocks beautiful sea view,facilities
one best stays great family friends everything clean swimming pool perfect,facilities
group friends great stay swimming pool garden bigger nicer seem pictures,facilities
spent marvellous week house children confortable well located beautiful pool,facilities
quiet neighborhood big house air conditioning every room always clean pool,facilities
place good location described brother family stayed abs really enjoyed,location
nice clean apartment situated idyllic location beautiful sea view surrounding mountains,facilities
wonderful location,location
things annoying electricity cuts failed internet times week always h time,facilities
helpful made stay stress free apartment clean advertised,cleanliness
everything photo apartment clean site amenities nice,facilities
valentina responded quickly every question asked recommend infinity pool staying especially wonderful experience sunset,facilities
valentina kind person tries help much help things written amenities almost hair dryer shampoo shower gel dish soap extra pillows blankets microwave oven toaster mak,facilities
dont car location hard go,location
house spacious good,facilities
pros cozy place well equipped,facilities
close sea,location
hotel construction front house quiet silent,location
location good close sea perfect bars beachfront,location
apartment indeed cozy everything needed comfort living,facilities
apartment clean cozy tiny highly functional,facilities
everything great comfortable stay,facilities
family enjoyed peaceful environment fully equipped home,facilities
great location would given starts basic items dish cloth pots bowls mugs great host excellent host valentina lovely host greeted us arrival,location
apartment lovely well equipped wellness basement lovely touch,facilities
advertised great views ocean,location
apartment directly beach see ocean every window apartment,location
rooms flat large roomy apartment right beach tennis courts near hand,location
accomodation perfect shown pictures located private household common pool adults one separated children,facilities
beach literally minutes walking apartment also lovely garden bbq loved ones,facilities
apartment beautiful clean,cleanliness
spacious comfortable,facilities
villa well equipped well located everything need relaxing break within walking distance,location
immaculately presented comfortable family,facilities
villa excellent easter vacation clean throughout close beach shops,location
great wifi signal youre coming uk travel adapters needed friend stayed nights flight landed late got bit lost still picked call helped us amazed villa matched pictures beautiful,location
excellent villa amenities would need family stay clean everything brand new,cleanliness
seemed good amazing stay villa ideal clean bits needed great comfortable stay,facilities
perfect location aswell,location
new apartment located lovely area,location
tidy checked even beautiful pictures,location
apartment essentials required make stay comfortable,facilities
bad host place brilliant great value money great location flat clean welcoming beds comfy shower great added bonuses icecream tea coffeeall flat great stay would recommend anyone,facilities
located great area close everything lovely pool also free sight parking,facilities
place great min walk beach although basic amenities provided toilet paper towel soap limited,facilities
nice villa amazing view get everything offered area villa awesome villa spacious plenty room family couple group friends traveling,facilities
views terrace amazing barely minute walk beach,location
couple restaurants within short walking distance definitely need vehicle get around,location
villa equipped things needed days could use repairsupgradesreplacing things nothing major would ruin holiday,facilities
great price great location everything need located resort,location
close beach lots pools super close restaurants gym,facilities
nice apartment clean great location restaurants lounges gym complex,facilities
short walk groceries,location
erdem apartment clean everything perfect,cleanliness
theres massive construction site outside balcony,facilities
pics showing balcony angled see sea reality theres hotel built right outside balcony prepared woken early every morning,facilities
also big resort theres better options cheaper better balcony view noise facing actual pools,facilities
cozy clean place stay suitable whole family group people convertible sofa well nice apts close playground pools nice fun holiday,location
days fixed internet still faulty afterwards,facilities
everything comfortable well thought,facilities
excellent accommodation option want stay close sea meters distance beach,location
one hand view sea hand mountains,location
found week long stay villa pleasant enough good location decent sized swimming pool good selection seating areas,facilities
lovely time location great,location
apparently pay owner cash day get remote control,location
speak rude man phone idea get remote told use fan,location
need add timers switches dont want waste energy taking remote away primitive,location
beautiful property nice view upstairs,facilities
much space relax pool,facilities
villa thalassa great location family holiday,location
house spacious comfortable,facilities
also plenty outdoor spaces relax dine including roof terrace fabulous views sea,location
property close beach plenty shops restaurants,location
pool great kids us adults location beach restaurants excellent,location
barbecue corner also cozy place enjoyed using,facilities
absolutely fell love place small cute everything could need travel around area time studio perfect requirements,location
good value location needed,location
lovely swimming pools sunbeds beach two minutes,location
sunrise beach restaurant site lovely residents friendly,location
room cleaned bathroom kitchen traces repair dust bathroom kitchen,facilities
kitchen furniture poor condition,facilities
also said wifi villa connection bad even connect phones,facilities
also many cats property know problem turkey cats would try steal food garden,facilities
also notification wifi got confusing excuses like wifi weak erdogan loved stay,facilities
great villa perfect space us pool lovely complex quiet really nice staff site good wifi wasnt working villa luckily roaming data,facilities
host accommodating baby organised things need,cleanliness
equipped need,facilities
view swimming pool fantastic day night,facilities
location close attractions specially ta car,location
think place stay next visit,location
first werent excited area walked around explored beaches surrounding liked,location
didnt get refunded us helped us good location friendly people,location
location excellent would definitely stay thank attentive hosts,location
hiccups ac responding remote close distance slat frame falling put back us still good value money,location
moment walked blown away pristine everything,location
room smelled like fresh breeze swept bathroom clean practically sparkled,cleanliness
made peaceful restful sleep despite heat outside,location
morning treated delicious breakfast left feeling satisfied ready take day,facilities
stay wasnt good expected many reasons bad hosting main advantage suits location,location
come beach minutes,location
also stay lounge beach area free sunbed live trend suits,location
bus station center close suits well,location
star location close beach,location
change towels daily bed made everyday,facilities
check away another building keep mind case lots bags,location
far beach well close alot nice restaurants,location
location quick walk konyaalti beach many restaurants bars,location
building residential neighbourhood quiet safe,location
pool always empty chilled morning coffee,facilities
victoria lovely house looked beautiful,location
great place stay welcoming host,cleanliness
property beautiful,location
victoria amazing host everything possible make us comfortable,facilities
well kept home recommended everyone,cleanliness
watch drugs swimming pool staff get paid manager,facilities
view outstanding ranks among best airbnb experiences ive ever,facilities
surroundings peaceful quiet location tbilisi prime close everything,location
apartment beautiful well located,location
host mamuka incredibly kind professional making sure everything order stay comfortable enjoyable,facilities
property beautiful wellmaintained amenities needed feel home,facilities
interior looks great everything comfortable cozy nice,facilities
perfect view terrace,facilities
beautifully designed place amazing location,location
dont even get started view bit trouble finding first host provided helpful instructions phone,facilities
place like photos rustic vibes appliances good quality balcony favorite part place,facilities
really enjoyed stay good location helpful host cool apartment definitely recommend perfect stay,location
apartment exactly described amenities,facilities
comfortable aesthetic interior located quiet yet central neighborhood,location
gorgeous apartment,location
balcony highlight,facilities
nice area close lots restaurants transport links,location
great apartments big comfortable inhouse stuff wonderful view city panoramic windows balcony,facilities
apartment clean interior beautifully designed view incredible,facilities
amenities available sound system bonus,facilities
amazing place beautiful view cozy apt wish could stay longer gia n amazing host also kindly agreed wash amazing panoramic windows additionally arrival,facilities
apartment clean comfortable easy achieve,facilities
great choice short stay tbilisi terrace highlight overall comfortable apartment,facilities
location affords easy walking access two bridges short strolls restaurants coffee shops groceries,facilities
great place great city view,facilities
great view terrace location convenient different areas,location
apartment cozy clean astonishing view big private terrace,facilities
mainly spent time beautiful terrace,facilities
definitely come back home next visit,location
nice apartment persons amazing view friendly staff,facilities
apartment includes conditions comfortable stay,facilities
easy find little bit far supermarkets activities right next ski slope,location
view nice well,facilities
cozy quiet place,facilities
necessary things clean view mountains bed,facilities
terraces wonderful offer commanding views city,location
apartment clean organised,cleanliness
comfortable tasteful amenities appliances,facilities
location great,location
central,location
best view city night day,facilities
wonderful place couldnt ask cooler location,location
cozy homely makes place incredible view,facilities
view living room roof terrace world,facilities
apartment huge full beautiful antiques gorgeous indoor plants,location
beds comfortable,facilities
apartment located top hill stairs steeps roads walk,location
super location gorgeous views great contact host,location
cannot find better view old tbilisi call home stay city,facilities
wonderful comfortable home close church,location
best location ask mtskheta,location
second floor ketis home pretty much self contained place balcony kitchen bathroom,cleanliness
really nice private piece semidetected house comfortable cozy,facilities
terrace great view,facilities
great place stay excellent location,location
host helpful responsive place comfortable us,facilities
great location minutes church great restaurants,location
beautiful apartment amazing penthouse apartment magnificent view narikala fortress central tbilsisi,location
loved balcony could sit enjoying views,location
view incredible sides spacious duplex always fun able look upper floors location cant beat heart old city tamara responsive host could imagine,location
incredible views directions,location
penthouse spacious clean memorable,cleanliness
perfect location right sulfur baths close restaurants shops sites,location
especially loved relaxing balcony morning long day exploring tbilisi,facilities
tamara welcoming kind helpful,cleanliness
star would given barbara came week family perfect location walks around town,location
perfectly located city centre provides easy access local attractions,location
terrace offers stunning views cityscape making every morning coffee evening drink memorable experience,facilities
despite bustling location impressively quiet offering peaceful restful nights,location
barbara host warm welcoming providing local tips ensuring comfortable stay,facilities
love barbara sooooo helpful answers immediately didnt need anything cause everything provided fully equipped home modern clean,cleanliness
joined fit club gym rooftop pool opposite side rustaveli explored local restaurants bars within walking distance asian fusion radisson wine cellar browns bar klikes khinkali cone culture uli amazing croissantwaffle dessert,location
apartment mins funicular see stunning view city although view balcony pretty amazing,facilities
second time staying returned barbaras place terrace fantastic view city,facilities
bed comfortable everything need stay,facilities
great location,location
apartment absolutely beautiful tastefully decorated,location
also worth noting tastefully decorated apartment delightful beautiful apartment,location
spacious rooms clean large bathroom,cleanliness
area prime lots restaurants wine shops etc,location
great apartment location lovely apartment,location
compfy beds clean cozy enjoyed stay apartment spacious well decorated need missing hand towels promptly provided upon request,facilities
lovely cozy apartment new gudauri located valley highway get,location
view balcony apartment marvelous literally feel beauty caucasus region,facilities
awesome appartment great view balcony,facilities
apartment described great view mountain range location relatively close restaurants supermarkets ski rentals lifts,location
place spotless since walked everything ready prior arrival,cleanliness
view breathtaking great pictures chilled evening watch sunset,facilities
clean modern beautiful appartment access easy place lovely clean warm stay winter,cleanliness
youll definitely love amazing beautiful view balcony,facilities
nice booked apartment close ski area,location
amazing place stylish luxury new,facilities
lots space inside several amenities,facilities
beds comfortable jacuzzi great views cities landmark,location
also clean,cleanliness
located front grocery store minute walk away coffee shop bakery,facilities
stunning views city,location
beautiful comfortable apartment,facilities
everything good april weather still cold windows clean,cleanliness
view beautiful night,location
great stay perfect view amazing place,facilities
breathtaking views,location
perfect amazing best recommended nice apartment clean comfortable great view,facilities
location apartment perfect first time tbilisi,location
close everything,location
enjoyed terrasse lot amazing view,facilities
terrasse gorgeous offers view dream everything clean nicely decorated,cleanliness
even piano tuned excellent location great space good host,location
short stay would great long stay nice kitchen everything need comfortable,facilities
easy check enjoyed view terrace,facilities
short walk many restaurants old town,location
nice apartment great location,location
location perfect patio best partwhen weather nice,location
view incredible,facilities
flat really big spacious,facilities
th floor walk dont mind walking stairs shouldnt problem,location
also location flat top hill many hills tbilisi,location
located top hill means view much better,facilities
great view deck,facilities
functional kitchen,facilities
view deck incredible treat wake every day,facilities
location great super walkable close everything metro stop away old town,location
great location nice view host helpful,facilities
beautiful view,facilities
th floor using stairs option,cleanliness
water floor heat went time required resetting times every time,cleanliness
well view terrace described previous guests,facilities
inside well stocked comfortable place kitchenware glasses towels detergent dishwasher pods nothing worry move enjoy time tbilisi dont run around wasting time,facilities
home like feeling cozy comfortable,facilities
warm floors cold weather fireplace jacuzzi everything working order,facilities
simply loved place loved anastasia warm welcoming constant checking us ready assist needs,cleanliness
nice city view clean room friendly host,cleanliness
maybe location high youre trained enough view worth,facilities
nice beautiful place stay great,location
want airbnb amazing view huge terrace center good air conditioning clean definitely get place,cleanliness
well natia family super friendly helpful great place location host super friendly feels like home super clean good value,cleanliness
location close one major avenues although steep walk make sure youre comfortable,facilities
walk lot still bit tired getting hill day,location
bed comfortable wifi good,facilities
great location responsive host,location
apartment clean well maintained,cleanliness
kitchen necessary supplies,facilities
liked much everything super clean location perfect skiing adventures,location
amazing view amazing place stay kazbegi area perfect summer winter,location
stay little baby comfortable,facilities
comfortable clean place nice view gudauri,facilities
perfect apartment good location,location
modern new everything stay comfortable,facilities
amazing view quite,facilities
felt lucky book place nights made stay gudauri comfortable peaceful,location
place everything might need best view balcony right front best restaurant gudauri,facilities
sad leave actually cant wait go back qetis apartment well located easy access one ski slopes,location
beautiful clean apartment,cleanliness
cozy great location right next first slope chairlift,location
even got us second table took care good internet provider could work home digital nomads best possible way,facilities
apartment nice authentic location,location
old town minute walk away,location
parking available right front door outside private parking,location
apartment th floor elevator great view,facilities
whole apartment new bed comfortable sofa even netflix,facilities
kitchen new well maintained fridge freezer oven bathroom,cleanliness
felt comfortable would like return,facilities
location far center walk historic center half hour along promenade,location
thanks location air cleaner areas tbilisi,location
good location near city centre,location
good apartment comfortable place beautiful view large balcony,facilities
everything need already inside air conditioning hair blower fast internet,facilities
old city minute walk min drive taxy,location
nice apartment lots light close center,location
view terrace amazing good location friendly owner highly recommend wish stay family,location
lovely apartment amazing view city river,facilities
shown photos thanks xatuna hospitality apartment good good view little bit cold,facilities
better written never regret really good house amazing location fantastic balcony view nice home owner,facilities
big windows lots sunlight incredible views sides refreshing stay,location
also found amenities comfort needed practical yet homely kitchen socialcommunal space comfortable bathrooms iron course comfy beds,facilities
garden bookshelf swing aspects make stay especially personal special,facilities
friendly nice happy see us welcoming supportive enjoying wonderful people,cleanliness
stands spectacular city views two large balconies modern amenities,facilities
comfortable apartment great view friendly host,facilities
rezi helped getting local sim cards drove us required location checkout,location
amazing stay apartment necessities host extremely friendly welcoming fantastic stay rezis place,cleanliness
incredible views complete set little things help everyday life lot space,location
apartment looks like pictures clean spacious modern amenities,facilities
location downsides heavy traffic work view terrace makes inconvenience,facilities
internet worked surprisingly well,facilities
house spacious clean beautiful view big plus monitor came handy work,facilities
house everything comfortable stay,facilities
well equipped apartment lovely terrace great location enjoyed stay nice place get rest get catch computer work good restaurants around,location
place relaxing good kitchen,facilities
apartment spacious everything needed stay,facilities
overall highly recommend apartment anyone looking comfortable convenient place stay,facilities
terrace absolutely beautiful apartment clean spacious,facilities
complaints towels provided stiff beds comfortable otherwise would highly recommend place,facilities
great balcony perfect view everything nice apartment equipment great apartment gorgeous terrace loved place fantastic place,facilities
big open spacious living room ac everywhere nice comfy bedrooms course star attraction patio incredible,facilities
thank making stay beautiful superb place,location
breakfasts enjoyable huge terrace fabulous view,facilities
one equipped airbnbs ever stayed around world,facilities
coffee tea plenty water,facilities
roomy clean beautiful marble bathrooms,location
ignore nondescript lobby building enjoy apartment view,facilities
view nice day night,facilities
location also good close metro convenient store minutes walk,location
beautiful view place perfect beautiful mountain view windows private long balcony modern aestethic style,facilities
two main issues one good cafe min walking radius place min drive distance active live sights stores cafes resturans awesome place stay lived weeks,location
wonderful view balcony,facilities
flat quiet view balcony breathtaking,facilities
apartment spacious warm everything one may need,facilities
view mountains magnificent,facilities
wonderful apartment location,location
work home happy internet connection,facilities
living room cosy even winter thanks gas heating,facilities
springsummer enjoy view kitchen even better,facilities
building site next door moment start morning,location
cozy wellequipped,facilities
course view,facilities
fully equipped small cozy apartment absolutely everything even,facilities
really liked full kitchen oven bathtub interesting interior design,facilities
lovely apartment beautiful location,location
amazing view window,facilities
apartment equipped necessary amenities stay even long periods,facilities
many cozy details apartment,facilities
light clean quite,cleanliness
internet good speed network open,facilities
everything need live even clean comfortable,facilities
beautiful view windows,facilities
lift couple minutes walk away,location
place comfortable,facilities
good pricevalue rate comfortable bed overall quite nice apartment,facilities
mins slope possible go ski boots,location
floor need replaced,cleanliness
need use taxi restaurants spa ski rent mini market close building,location
great recommended decent space close first lift transportation,location
beautiful apartment exciting views window,location
great apartment nice location,location
views windows apartment outstanding,location
one amazing places ive peaceful beautiful,location
host friendly responsive awesome view unique design,facilities
mikha super responsive friendly welcoming,cleanliness
comfortable apartments perfect location,location
really nice staying elenas place view amazing great location views flexible checkin wonderful apartment beautiful view everything need,facilities
near small korean restaurant many grocery stores,location
really fantastic space truly unbeatable view outdoor space,facilities
looks like photos great location easy access anything youd need well public transit,location
fabulous place terrace amazing views city especially night,location
number firework displays wonderful views,location
lots shops restaurants doorstep decide visit old town,location
ask natia introduce irakali organise car driver private tours wonderful sites outside tbilisi reasonably priced,location
wonderful terrace,facilities
plus side location perfect,location
one beautiful airbnbs stayed city lovely hang beautiful terrace light living room area,location
area offers lot good restaurants everything else need close nice walk old town,location
building seen better days apartment spacious immaculately clean open wellstocked kitchen terrace view make apartment special place stay,facilities
great stay super easy clean good location definitely recommend place amazing,location
seemed touristic location,location
lot places shop eat fun walking distance,location
perfect apartment perfect location tbilisi recommend place,location
great view,facilities
clean apartment,cleanliness
right next park,location
cozy spotless apartment wonderful district tbilisi,cleanliness
beautiful nice place stay flat fully corresponds photos provided website,location
location view balcony amazing,facilities
beautiful apartment aleksandra responsive friendly,location
good apartment well maintained clean cozy comfortable mattresspillows,facilities
beautiful panoramic view tbilisi city shared terrace,facilities
decent internet speed,facilities
ideal couple days stay great experience lovely place best terrace best view,facilities
located close rustaveli avenue convenient,location
bit uphill walk views worth,location
beautiful panorama tbilisi worth visit particular apartment,location
checkin straightforward time room clean well equipped,facilities
everything quite near reached foot,location
terrace fantastic,facilities
cosy nice place good view host,facilities
decent location clean comfortable apartment,facilities
really liked proximity swimming pool park groceries,facilities
location nice overview window really beautiful,location
accurate cozy apartment beautiful mountains sunset view comfortable neighborhood,facilities
endless hours checking good airbnb found beautiful apartment tibilisi fell love,location
location apartment convenient need pharmaceutical supplies groceries bus station literally mins away,location
overall perfect best place live tbilisi best view pleasant host quiet district,facilities
incredibly cozy warm vibe,facilities
amazing view,facilities
cleaning week amazing,cleanliness
alexandras place beautiful neat,location
park really nice peaceful right front building,location
close center nice view,facilities
comfortable air conditioning amazing stay,facilities
perfect location super clean pictures great time aleksandras place,cleanliness
terrace comfortability view amazing,facilities
apartments clean cozy,facilities
highly recommend staying balcony adds charm,facilities
place clean convenient people ages,cleanliness
travelled elderly parents hard time walking amazing stay place accesible lift fit people,location
pictures exactly person view balcony outstanding,facilities
location convenient food grocery stores nearby busy noisy youre staying old town area,location
million stars good place tbilisi apartment comfortable irakli grate host,facilities
apartment beautiful people group everyone loved,location
need airport transfer private tour cant recommend enough,location
nodar nodars apartment beautiful,location
views apartment stunning,location
location convenient everything within minute walk,location
host ws friendly rooms well maintained beautifull view,facilities
host excellent accommodating check check times much earlier originally thought would leave wonderful location lot short ride old town,location
great apartment beautiful views city,location
amazing apartment breathtaking views,location
plan come georgia want relax stay one beautiful places tbilisi sarahs place recommendation,location
zurab really great host offered recommendations area lovely apartment beautiful mountain view even offered us lift airport,facilities
amenities exact felt comfortable staying zurabs place nights,facilities
view balcony amazing see mountains river kura,facilities
security house tight building safe,location
airbnb stay panoramic view great location exceptional experience,location
convenience metro close allowed easy exploration citys attractions vibrant neighborhoods excellent dining options,location
meticulously maintained beautifully decorated space coupled hosts zurab friendliness helpfulness made feel home added overall enjoyment stay,cleanliness
location cleanliness house good,cleanliness
stay next time go tbilisi,location
modern spacious sometimes quite challenge find georgian capital,facilities
internet fast responsive well equipped kitchen pretty much everything need cook meals,facilities
expansive balcony nice addition,facilities
less minutes away metro,location
km away old town abanotubani,location
enjoy nice mountain view room,facilities
great place picturesque mountain view,facilities
aga made sure safe peace first day even due confusion still went way help,location
absolutely stunning view stunning easy walk ski lift restaurants close,location
definitely back next snow season,location
thank dear honesty everything x aga friendly welcoming host fastest responses host weve ever,cleanliness
apartment new modern cozy amazing view,facilities
bed comfortable,facilities
kitchen fullyequipped even washing machine,facilities
short walk ski slopes well restaurants like drunken cherry spar convenience store,location
perfect location paired perfect comfort made unforgettable stay,location
super apartment great views,location
