Sentences,Judges_classification
beautiful apartment short walk many restaurants slopes,location
peaceful check inout really easy,location
nice apartments great terrace,facilities
location fantastic,location
best place ive ever visited like apartment great place responsive host big terrace,facilities
giorgis apartment great spacious clean amenities washing clothscookingairconditioning amazing view balcony specially night,facilities
amazing view host,facilities
absolutely stunning loads useful amenities view,facilities
interior decor well kept rooms ample space amenities,facilities
house even better photos provided like cozy castle near tbilisi,location
everything inside outside house extremely clean welldesigned new,cleanliness
birthday party went smoothly house great clean large number bedrooms,cleanliness
beautiful comfortable house needed facilities gorgeous mountains river view,facilities
beautiful place kakhetia near tbilisi get taxi city,location
cozy stylish cottage house spent pleasant time,facilities
would recommend cozy beautiful place everything need,location
nice view terrace,facilities
great view comfortable bed,facilities
house clean view awesome,facilities
cabin super cozy clean beautifully designed view mountains amazing sit terrace beautiful garden,facilities
definitely come back next time,location
view window amazing,facilities
also room high ceilings good bed clean bathroom kitchen full useful kitchenware,facilities
wonderfully located foot stairs botanical gardens b able walk many sites restaurants straight door step,location
flat simply gorgeous one bedroom flat great amenities reliable wifi cold ac hot tbilisi days particularly appreciated,facilities
peaceful home away home yet close old city,location
apartment felt right home view kitchen table something stay home,facilities
area great right old tbilisi close nice bars restaurants sights away touristy areas,location
great place super great stay peaceful home great view,facilities
situated walking distance restaurants landmarks wanted visit,location
mariami helpful communicatieve thanks felt comfortable secure,facilities
terrace particular amazing,facilities
wonderful flat perfect location easy communication thanks million,location
lovely place suitable couples beautiful view thats marvelous apartment marvelous host,facilities
excellent host amazing house big place comfortable environment amazing view big balcony,facilities
comfortable cozy beautiful apartment,location
nato perfect host visited natos apartment described spacious clean cozy especially warm lighting place well furnished short long stays,facilities
great view mountains city,facilities
nato friendly polite welcoming smooth communication,cleanliness
jikia house well developed neighborhood various stores coffee shops cafes coworking etc,facilities
metro station min walk,location
peaceful place everything need meters radius delicious bakery supermarket pharmacy,location
apartment comfortable peaceful great view mountains,facilities
apartment nice spacious cozy,facilities
beautiful city view everything nearby shops minutes metro station minutes supermarkets minutes,location
apartment cozy fully consistent photos,facilities
amazing huge house great view jinvali lake,facilities
kitchen stone fireplace ground floor,cleanliness
kitchen equipped everything may need sparkling clean cozy,facilities
panoramic windows first upper floor enjoy view lake mountains,facilities
kitchen also faces lake enjoy view even washing dishes cooking breakfast,facilities
terrace huge nice cup coffee sitting,facilities
local shop within minutes walk spar little farther dont use main road use local road walking theres traffic,location
ketino wonderful host brilliant property great location explore georgia nice view great place stay family days,facilities
view lovely,facilities
place min away historic old city car,location
one best places stay tbilisi apartment spacious clean wellequipped host professional easy going,cleanliness
look exactly like pictures super clean well decorated,cleanliness
spacious rooms well equipped,facilities
definitely stay next time visiting tbilisi,location
georgesxaplace perfect location easy get around public transportation,location
place great clean everything need,cleanliness
amazing panoramic sunset view incredible,facilities
big beautiful apartments wonderful location,location
cozy nice place,facilities
amenities provided place extremely clean great home big group,cleanliness
house three floors big kitchen ground floor ladies loved kids enjoyed space play around,cleanliness
one thing consider little away form ski lift admin orders car onceonly visit area,location
private place recommended large group enjoy without disturbance,location
great apartment plenty room balcony large wonderful views,location
neighbors little loud young child aware loud went bed,facilities
overall great apartment great location,location
apartment great featuring amazing view balcony hot tub wanted,facilities
everything clean,cleanliness
stay nice quite calm location yet close city center vake district,location
great terrace view would definitely book wife brilliant time staying apartment,facilities
even got witness new years firework display balcony amazing,facilities
nice looking apartment amenities place definitely pleasure stay,facilities
view balcony astonishing,facilities
great place stay amazing views night,location
spacious washer perfect long stay,facilities
apartment modern bright clean spacious calm best view windows,facilities
right next house beautiful path turtle lake picturesque views,location
loved location hill loved apartment,location
ninos loft stunning views cityscape rolling hills beyond,location
well worth heading hill vake clean well equipped sunny quiet refuge,facilities
min walk hill,location
easily get food groceries delivered,facilities
nino great host location amazing,location
nice place unbeatable view,facilities
great host great location great accomodation,location
loft super spacious th floor end street house nature really nice,cleanliness
nice cosy cottage area georgia get experience real local feeling,location
cottage great view enjoy communication host perfect super helpful recommendations entire vacation georgia,facilities
amazing place picturesque view,facilities
beautiful cottage amazing scenery lake sioni,location
perfect group outings camping keep mind remote area bring food drinks,facilities
exceptional location,location
didnt spend lot time great rural view wake,facilities
cozy location stunning night city view,facilities
flat big spacious great view tbilisi amd big terrace friendly cats,facilities
flat clean well equipped,facilities
great view overlooking city,facilities
really liked view window apartment,facilities
everything need comfortable life,facilities
accommodation separate building spacious clean,cleanliness
great relax terrace evening regardless weather time day cats came visit us time time liked far go center mountain often went back taxi,facilities
apartment everything long stay clean tidy,cleanliness
great balcony perfect views walkable street lots restaurants metro station,location
amazing night view city,facilities
apatment cozy comfortable wasnt happy stay several reasons control hosts,facilities
appartment located nice area mini market right building kids playground lots trees wich creating shade,location
shops walking distance,location
evenings enjoyable sit balcony mountain view,facilities
appartment extremely clean bright nice,cleanliness
apartment luxury residence,facilities
apartment fully equipped,facilities
felt like high end hotel tidy lovely place equipped everything need,facilities
nice modern place great view satisfied everything,facilities
cosy room great view,facilities
comfortable work kitchen balcony,facilities
terrific apartment high floor new building great terrace,facilities
thank warm welcome cozy apartment middle vake,facilities
excellent location great view convenient checkin checkout host kind caring comfortable small apartment everything need living,facilities
clean nice apartment incredible view,facilities
great neighbourhood department stores close vicinity restaurants parks open spaces,location
location quiet clean spacious great views city,location
centrally located shopping good restaurants site seeing,location
great stay would recommend apartment location,location
comfortable parking,facilities
fireplace flat priceless lot good evenings near,location
spacious sunny apartment,facilities
apartments clean good location,location
flat located best part tbilisi easy access infrastructure,location
beautiful view sunset mountains park,facilities
excellent location large supermarkets cafes near park main street lot shops,location
comfortable two,facilities
accommodated stay last minute apartment spotless,cleanliness
first choice next time im tbilisi nice apartment allright,location
awesome view,facilities
spacious quiet,facilities
view revealing nearby hills simply awesome,facilities
apartment clean good morning view window,facilities
everything nice except cold turned heating,facilities
constructed quite strange could hear children half night good cozy clean apartment,cleanliness
great view balcony,facilities
spacious apartment,facilities
apartment everything comfortable stay,facilities
great location friendly people definitely recommend,location
thanks stanislav members team sojourn comfortable,facilities
hostel great view great location,location
pros location great,location
common living space nice great views city,location
took family room comfy double bed ample furniture couple including working desk one couch,facilities
great stay diwan amazing shared space breathtaking view city,facilities
beautiful hostel big comfortable rooms huge living room kitchen great view,facilities
soo nice place soo clean love soooo much good host big modern flat vintage room,cleanliness
location best dozens restaurants parks big supermarket right backyard,location
perfect location locate opposite psh convenient couples register marriage,location
room clean nice,cleanliness
wonderful super cozy place stay,facilities
beautiful balcony amazing view,facilities
everything need like shops restaurants mins walk,location
wonderful bright spacious apartment beautiful antique furniture piano,location
located center next old town rustaveli street,location
perfect large family bedroom balcony kitchen everything need,facilities
loved bright sunny rooms green trees window location,location
walk sulfur bath area doable flat,location
weve stayed places technically closer difficult walk hills apartment makes easy walk area,location
also grocery stores close small playground back nice park bigger playground little street,location
also easy get taxi location,location
spacious apartment big family,facilities
well furnished well equipped long stays,facilities
centrally located,location
perfect communication nino friendly welcoming host,cleanliness
cozy place,facilities
amazing views location clean clear communication,cleanliness
beautiful view river good access supermarket city,facilities
place amazing great view tbilisi mountains river,facilities
apartment clean cozy everything needed,facilities
good accomadation good view,facilities
thanks cozy apartment stunning panorama view tbilisi,facilities
host welcoming friendly id definitely recommend,cleanliness
great view breakfasts balcony beautiful,location
thing comfortable bed inga helped buy buying additional mattress,facilities
view flat amazing inga helpful many languages,facilities
flat bit small like dont mind sleeping main room kids days use flat mostly sleep wake view city cannot beat value,facilities
great location ski directly chairlift beautiful view,facilities
room basic clean,cleanliness
apartment location great,location
convenient lovely view,facilities
thanks hosting dimas kind thoughtful host f place modern boutique hotel english speaking personnel concierge taxi wifi restaurant spa,facilities
place lovely located mountains stunning views,location
house perfectly clean host takes care small details make stay comfortable unique,facilities
great views nature house spacious clean wellfurnished,cleanliness
beautiful villa,location
equipment clean stylish,cleanliness
iconic view close batumi,location
house super beautiful cozy whole area picturesque right windows see mountains forest river panoramic bedrooms pleasure,location
addition restaurant maisi belongs accommodation simply brilliant seasonal regional food modern twist,facilities
cabin truly best view kazbegi,facilities
cabin huge windows mountains across valley fill entire view,facilities
great view good weather good service excellent,facilities
apartment beautiful view like shown photos,facilities
aware transportation least us convenient option bolt apartment located bit far sights old town,location
nearby reach supermarkets local markets min walking distance,location
great views clean cabin,cleanliness
fantastic view cozy little stay,facilities
husband comfortable whole time,facilities
nice view,facilities
cows horses often visit evening potholes puddles road important using car,location
place super cozy location best david responsive supportive,location
great place view unbelievable one best mornings look outside window breathtaking,facilities
cabin cozy clean got everything need,cleanliness
one special attraction bunch cows walking lime mountain fields evening,location
beautiful cabin best location overlooking mountains,location
david great host place clean arrival,cleanliness
unforgettable experience really enjoyed place see mountains river walked around beautiful local area feel something impossible describe,location
view amazing house beautiful clean well equipped kitchen maybe comfiest bed ever lots nearby good restaurants,facilities
sweet place great view borjomi,facilities
cosy uniquely decorated absolutey stunning view overlooking borjomi,facilities
described welloutfitted charming apartment responsive organised host,cleanliness
incredible view location,location
strongly recommend renting car possible walk beach couple restaurants cabin walks far often roads small shoulders,location
stunning air bnb cosy view beautiful,location
enjoyed views alone hill,location
place built really beautifully really warm even cold night comfortable spend time,facilities
koba super friendly helpful loved views terrace bedroom amazing view clean house owner house touch wifi nice neighbors invited us visit koba friendly great host excellent hospitality,facilities
drove us main road cabin plucked gave us hoard fresh oranges garden also asked us feel free grab take back home,facilities
view excellent cabin pristine clean well maintained,cleanliness
internet amenities good,facilities
wonderful weekend getaway destination hours away tbilisi minutes borjomi,location
location stunning placed small rural village surrounded beautiful meadows picturesque mountains,location
place modern wooden building everything may need even scale cozy fireplace various kitchen utensils highspeed wifi sauna,facilities
kitchen well stocked,facilities
bed comfortable water hot,facilities
great place minutes outside town mestia want privacy little cabin,location
nice location perfect view neighbours ksenia shes friendly women great host house amazing beautiful view nice furniture design beautiful cozy placehighly recommended amazing thing house nature around,facilities
huge beautiful mountains lot stars night,location
cottage inside comfy cozy happy netflix tv would happy stay place recommend friends,facilities
amazing view smart welldesigned house,facilities
really fast mobile internet mb,facilities
cozy apartment fantastic view beautiful mountains,location
beautiful house,location
house clean new furniture,cleanliness
amazingly detailed terms guest would need location,location
kitchen washing machine even barbecue micro detailed,facilities
spent great days ksenyas house beautiful view comfort,facilities
host nice nice nice great peaceful place amazing place better get big suv last kms terribly bumpy small cars break specially raining,location
fabulous place take rest cottage bumpy nice cozy quiet place great,facilities
place nice cosy,cleanliness
great view quiet,facilities
beautiful views morning,location
views absolutely stunning even better person,location
villa spacious clean,cleanliness
definitely best accommodation mestia area,location
apartment amazing beautiful views,location
best location batumi,location
apartment clean amenities need,facilities
amazing view lovely host,facilities
location convenient many shops vicinity near beach,location
watching sunset balcony must,facilities
everything good great place stay right beach road great views good walks restaurants within easy distances,location
idyllic escape mostly removed wifi cell service surrounded majestic everchanging nature mountains clouds wildflowers cows horses sheep,location
aykuts dome provides rest sustenance simplicity focus daily basics beautiful remote location nothing unless want go hiking mountain biking trail running dip river andor yoga deck,location
blows mind people dont go discover area sense makes special,location
place cozy clean electricity coverage made stay special truly disconnect rest charge power bank aykots grandmas house near dome,location
love black sea region place highlight trip region,location
dome felt cosy safe well designed amazing views interior exterior,location
garden relax comtemplate enjoy swing make barbecue make fire night watch sky full stars,facilities
walk surroundings pass villages,location
last morning gorgeous view clouds lake could larger clearer view village min walk dome,location
aykut great person friendly best make feel comfortable,facilities
amazing views route felt good experience,location
cozy light chalet amazing view sea,location
unbeliavable views clean cozy house,facilities
new beautiful amenities beautiful terrace equally beautiful view super quiet relaxation detox work,facilities
think definitely come thank much hostess amazing place nice view,facilities
althought place centrally located great views balcony negative things wed like point host mention description building still contruction appartments still renovated thus could hear drilling hammering every also walls rather thin could hear neighbor cooking,facilities
also shower drain clogged thus flooded bathroom every time took shower,cleanliness
cozy apartment great location,location
view balcony magnificent,facilities
great place amazing view stadium sea,location
outstanding view balcony,facilities
checked girl admired view good time together apartment convenient pleasant located,location
quite good especially view cold tent even heat gun,facilities
amenities luxury tent,facilities
excellent food,facilities
great place awesome location,location
stunning views peaceful atmosphere,location
really nice place relax,facilities
restaurant tasty food delicious vine,facilities
good beach mountain river minutes,location
studio located new modern family house exceeded expectations every way,location
host incredibly welcoming accommodating making sure everything needed,cleanliness
space clean comfortable beautifully decorated,facilities
location convenient easy access transportation nearby attractions,location
highly recommend airbnb anyone looking cozy enjoyable stay,facilities
place good guest house nice clean modern spacious room,facilities
far city centre mins taxi close train station mins taxi,location
nice views city,location
overall stay ok caring touches eg one towel small shower mat stand bathroom slippery toilet brush next toilet guest house could extremely good,location
would recommend anyone put plug wall connect air conditioning cozy house beautiful view pleasant owner,facilities
centered around beautiful breathtaking kazbegi mountain ranges god jesus made,location
room middle mountain amazing view,facilities
felt comfortable,facilities
really good equipment kitchen hut,facilities
view amazing,facilities
comfortable comfortable,facilities
everything nice location around many cottages good bring food drink area smell bathroom think coming drainage line thing bothers views cottage amazing absolutely worth stay,location
also funny smell bathroom,cleanliness
cabin right need kitchen equipment make hot coffee noodle soup night feels cold view breathtaking many good restaurants within walking distance basically city centre quieter area,location
nice comfortable house amazing place,facilities
small cozy cottage everything need,facilities
kitchen bathroom accessories well everything need comfortable stay find cottage,facilities
special attention paid spectacular views mount kazbeg,location
incredible views morning day evening guaranteed,location
really nice house beautiful view,facilities
amazing view absolutely breathtaking needed amenities gym pool building,facilities
good experience nice warm flat great sea view,facilities
cottage idyllic view felt like dream want wake,facilities
place brand new warm cozy giorgis place honestly best place stay area,location
views unbeatable,location
cabin new clean beautiful comfortable amenities would need,facilities
heating wifi reliable,facilities
best thing course view second best warm inside,facilities
apparently thats rare thing find airbnbs georgia winter everything great cozy comfortable,facilities
cozy chalet friendly host stunning views,location
super service amazing people site recommending tago camping friends,location
fake jeeps x true worth go amazing views delicious local food pure nature comfortable tents,facilities
clean good service serviable staff good food,facilities
great hospitality amazing place relax even weather good,facilities
great time staying lovely common area spend time friends cosy vibe,cleanliness
good value money room clean tidy,cleanliness
hosts helpful well great view cozy rooms terace cherry top happy stay,facilities
beds comfortable good quality mattresses nice bed sheets,facilities
place clean,cleanliness
also well located close main street many restaurants,location
cosy near center amazing rooftopterrace common area,location
amazing public area cosy huge windows amazing view mountians,facilities
good bathroom peaceful place stay,location
scary experience reach location,location
host reluctant share location,location
asked wait near spar supermarketabout kilometers away someone pick us cant share exact location,location
reached kilometer asked park car construction going oni didnt see work person informed us location kilometer away carry bags,location
location house communication host excellent,location
unique view great architecture,facilities
apartment well located really nice beautiful view,facilities
wifi fast around mbps,facilities
also heating works perfectly really nice,facilities
construction going building front apartment work around hear much especially balcony windows closed,facilities
also water pressure bit low water didnt get steamy hot definitely comfortable showering level,facilities
apartment top floor nice building th floor elevators available,cleanliness
nice balcony great view sea,location
overall clean fully functional kitchen comfortable bed studio design,facilities
good ac also heating,facilities
location unbeatable always stay around area central boulevard lake city squares min less walking,location
good location nice enough,location
sea view,facilities
close beach,location
salomes place spacious wellmaintained equipped everything might need short stay,facilities
balcony enjoy views sea well mountain,location
everything cool great apartment clean bright,cleanliness
best place kazbegi chill clean open calm great home great location alex really super host thank great experience see next year great place highly recommend best getaway city hustle place surprisingly clean especially amount towels linens perfect,cleanliness
strongly recommended best place relax enjoy view weather,facilities
lovely place breathtaking views,location
exactly kazbegistepansminda listing says wanted near restaurants sort,location
house located peaceful place stunning surrounding landscapes,location
spend time cozy yard watch scenery balcony,facilities
beautiful house full charming details antique furniture,location
thing house quite prepared arrival heating boiler started small problems everything quickly eliminated,facilities
super cold hall hours later comfortable,facilities
recommend right sea close hotel use swimming pools fee,facilities
house minutes drive batumi close sea lovely green garden,facilities
accommodation nice cabin farm possible taste local food garden,facilities
farm beautiful environment mountains place ideal starting position hiking adjara mountains,location
stay new beautifully located aframe cabin gvantsa family unforgettable us,location
place takes high level calm relaxation arrived slope road immediately met car taken top mountains,location
view windows housing pick words exciting,facilities
advise everyone cool place relax walk,location
beautiful place nice generous people nice comfortable house great sleep cozy bed,facilities
description says fireplace barbecue area end turned one place indoors fry barbecue fireplace amiran host found us device could fry meat street,location
room clean good view,facilities
walk restourants shops,location
cleaning lady,cleanliness
great place good view black sea,location
easy checkin process lockbox near door,location
really enjoyed stay balcony view beautiful,location
would definitely recommend staying rental thank nice clean room,cleanliness
apartment clean comfortable well equipped,facilities
clean apartments beautiful view exceptional location friendly host flexible booking conditions tina one responsive hosts ive many incredible recommendations super hospitable,location
airbnb cozy view pretty toobest time look outside early morning full moon waves high pretty ofc night time lights nice,facilities
place cool view breathtaking,facilities
excellent location clean apartment wonderful host orbi apartment hotel located within walking distance many tourist attractions batumi,location
great deal also nice excellent view location,location
right near everything,location
apartment beautiful views across beach city,location
clean comfortable room beautiful view sea,location
bed best part suuuper comfortable,facilities
loved feeling like local sleeping mountains wonderful guesthouse lovely host excellent food,facilities
good truly authentic rustic experience cottage really cute surrounded wild flower fields mountains,location
room nice comfortable,facilities
stepantsminda hour walk foot though waterfalls sno quite close,location
studio top floor hostel,cleanliness
apartment clean nice interior,cleanliness
grocery store nearby minute walk center,location
loft spacious clean everything friend needed,cleanliness
comfortable bed new bathroom nice public space house kutaisi dont look anything else beqas accommodation really nice everything nearby,cleanliness
nice clean apartment one carefully read description booking absent fridge air conditioner may confuse,cleanliness
building located minor road wont get disturbed traffic noise,location
yet far away center,location
amazing clean apartment breathtaking view,facilities
nice place stay beautiful apartment beautiful place,location
beautiful apartment set near beaches stores restaurants,location
nice place good location apartment clean cosy spacy,cleanliness
quite close beach,location
host left us clean aesthetic condition,cleanliness
lived th floor great view beautiful balcony room everything need room quite clean,cleanliness
well organized apartment high quality furniture beautiful view nearby roofs,facilities
nice place staying batumi great location exploring city friendly owner,location
excellent mountain views,location
delicious food tasted georgia,facilities
wanted enjoy countryside views feel real life village fun helping amiran wife different physical works collecting tobacco leaves hanging let dry chopping firewood,location
wonderful location amazing views,location
lovely family good food amazing views nice sunny room,location
worthwhile places enjoy food wine people,facilities
everything amarins fresh family accommodating hospitable,cleanliness
land beautiful property comfortable views surrounding valley especially outdoor dining structure meals served,facilities
perfect spot discover mountains bathroom needs refurbishment otherwise clean sweet home amazing terrace loved,facilities
feels remote tranquil close town centre ski lift,location
loved coffee porch morning watching birds lighting wood burning fireplace rainy days campfires evening,facilities
able cook basic meals able work using wifi,facilities
highly recommend stay visit beautiful mestia,location
place really cosy next center wonderful environment,location
heaters keep warm well lofts mountain view make great sleep,facilities
eco hut warm cosy,cleanliness
beds clean comfortable,facilities
quick walk town ask nariman giorgi shortcut,location
apartment clean comfortable equipped amenities close beach grocery stores,location
view sea batumi boulevard absolutely stunning,location
sat many evenings balcony tea enjoy sunset,facilities
cooking happy kitchen well equipped,facilities
location cant beat unless parties andor music playing beach,location
kept us awake bars closed,cleanliness
moment step inside eyes captivated breathtaking views black sea batumi skyline,location
location also perfect easy access beach local attractions,location
amazing restaurant top floor building,cleanliness
apartment stunning sea view fivestar experience start finish,facilities
location great steps away beach apartment clean modern fully equipped,facilities
host incredibly helpful responsive ensuring comfortable stay,facilities
views balcony breathtaking panoramic view ocean,facilities
apartment spacious modern amenities could need comfortable stay,facilities
location perfect close beach many great restaurants shops,location
building amazing stories restaurant top floor mustvisit well,cleanliness
first live apartment perfectly clean new furniture smells new everything works perfectly,cleanliness
view perfect sides,facilities
hall direct sea table,location
side view overlooks boulevard swings,facilities
hot front balcony hide shade,facilities
th floor due fact nothing blocks view th floor,cleanliness
recently renovated perfect cleanliness,cleanliness
panoramic windows million views,location
see sea city sunset took gorgeous stories instagram comfortable sofa mattress good rest,facilities
apartment stuffed everything required short extended stay amenities place,facilities
good location close promenade minute walk old town still quite gorgeous sunsets balcony,facilities
problems internet,facilities
kristina responsive reliable electrical kettle broke new one delivered doorstep minutes texted,location
great place stay highly recommend well maintained apartment,cleanliness
con location nice apartment easy communicate everything needed snd kristina super kind letting us leave luggage apartment checked,location
felt like apartment dream great planning view great place fast friendly communication host,facilities
nice clean apartment good value money,cleanliness
lovely place stay borjomi likiani located peaceful area minutes walk entrance national park multiple hiking routes,location
everything exactly photos plus fire pit next cabin tables chairs use terrace,facilities
easy get regular car,location
cute cozy place,facilities
view clean tidy wagon mountains great view,facilities
located hill town amazing view,facilities
house clean tidy,cleanliness
gorgeous breathtaking view kazbegi mountain,facilities
nice location house perfect view easily taking photos church time sunrise sunset see room evening,facilities
really enjoyed stay house big functional kitchen common space beautiful terrace room temperature december quite comfortable great place wonderful view great place exactly described,facilities
th floor wow,cleanliness
rumors fantastic view,facilities
building located amazingly steps away gondola lift,location
clean seems bigger irl pictures nice surprise,cleanliness
loved amenities view amazing,facilities
mins walk away gondolas lots restaurants nearby,location
nice bright apartment close restaurants market cableways,location
apartment sparkling clean,cleanliness
view balcony fantastic,facilities
location view balconies apartment clean equipped required tools enjoy stay,facilities
amazing hosts convenient apartment city center great view sea,location
stella responsive seashore close flat clean everything expected amazing experience great host stay absolutely brilliant,cleanliness
fully equipped apartment extremely nice host,facilities
great stay apartment matches description ad recommend everything great apartment clean good located comfortable,facilities
markus place absolute dream perfectly middle nowhere whole place q lovely garden,facilities
surrounded cornfields animals,location
new modernly equipped,facilities
beds amazingly comfortable seldom enough georgia airbnbs,facilities
kitchen stocked everything need pans pots perfect condition,facilities
terrace back balcony upper floor small terrace front,facilities
comfortable arm chairs nice shower,facilities
internet works fine,facilities
markus family amazingly welcoming top,cleanliness
perfect getaway place surrounded mountains rivers natural landmarks hour drive away,location
without car nana helped us get around even drove us shovi resort,location
even didnt desire explore surroundings comfortable stay excellent gorgeous great difficult find enough epithets describe amazing cottage definitely one favourite stays airbnb,location
house located picturesque place amongst cornfield facing mountains able look shoda hammock,location
cottage spacious high ceilings floors terraces,facilities
beds comfortable enough space big companies families,facilities
kitchen equipped everything may need coffee maker sandwich maker stove even oven,facilities
river swim within minutes walk,location
especially miss beautiful jessie cute smart dog really recommend house,location
superb hosting fantastic location spectacular views,location
house spacious kitchen everything need comfortable beds,facilities
assistant nana met us helped us buy fresh meat firewood,cleanliness
one day took us forest mountains along way stopped admire views,location
looking super comfortable place solitude nature need,facilities
guest amazing liana always touch us lot fun recommend liked everything good location great view balcony,facilities
view incredible place described,facilities
apartment clean picture,cleanliness
place clean necessities night stay,cleanliness
comfortable place,facilities
good place stay also good view sea,location
clean cosy apartment,cleanliness
perfect view,facilities
location best overall batumi,location
great apartment comfy beds beautiful view great place stay perfect location sea view close center,location
apartment equipped everything long terms stay,facilities
conveniently located next sea,location
great cafe ground floor,cleanliness
apartment equipped necessary amenities long stays,facilities
everything need nearby beach minutes away,location
clean air,cleanliness
svetlana always touch met showed us despite late arrival great apartment great view sea close,location
convenient location close shops transport sea minutes away,location
high floor quiet great view batumi sea,location
absolutely loved breathtaking sea view balcony took pleasure leisurely strolls along waterfront,facilities
sunsets beach truly magical,location
moreover location incredibly convenient easy access supermarkets stores restaurants,location
kitchen although situated downstairs room essential amenities except vegetable peeler colander sharper knives,facilities
cleanliness entire place commendable shower worked perfectly,cleanliness
dont mind kitchen downstairs especially enjoy cooking frequently highly recommend place,facilities
great stay walking along waterfront enjoying beautiful sunsets,location
location convenient stores agrarian market restaurants etc,location
kitchen downstairs clean spacious well equipped,facilities
rooms quite spacious view sea front room amazing,location
really meters beach,location
yes actually sea,location
room nice bathroom ac wifi course,facilities
also public kitchen first floor could cook food,facilities
elizavetas apartment exactly shown photos clean bright,cleanliness
location great seashore pretty near elizaveta nice helping host,location
like places go georgia stay pretty small apartment basically everything needed washing machine coolingheating ac small fridge lot various kitchen utensils dishes microwave small safe hanger dryer hair dryer two sets towels,location
apartment faces similar building since building shifted back beach youll wider view towards sea balcony,facilities
fitness center closed pool doesnt towels water cooler anymore next building currently costs laris per month,location
also pretty large carrefour supermarket two three blocks away,location
thanks georgiy perfect host im little bit disappointed public kitchen,facilities
amazing views batumi cozy conveniently located comfortable apartment everything may need,facilities
nice friendly host helped find location answered questions,location
clean place near beach quite far away city centre,location
great location nice space especially balcony,facilities
vibe really cosy place amazing hosts delicious food couldnt ask keti giorgi made night,facilities
whole floor beautiful forest mountain view terrace provided guests,facilities
kitchen fridge shared,facilities
location perfect exploring delights kakheti everything within easy driving distance,location
provided us tons local recommendations gave us food tea wine right backyard,facilities
family made us feel home right away,location
house cosy balcony overlooking garden full flowers forest,facilities
breakfast kati made amazing showed us georgian hospitality looks like,facilities
great spacious flat beautiful sea view,facilities
entrance elevator bit adventurous flat clean cozy,facilities
car made day trips easy find parking lot right front building,location
lots things walking distance,location
beautiful place immaculately clean brilliant location,location
location excellent central near everything transport shops etc,location
apartment top floor amazing unobstructed views sea promenade,location
place modern clean well equipped,facilities
elevators available last floor done stairs,cleanliness
good location great views,location
amazing sea view located promenade supermarket building,location
apartment spacious clean,cleanliness
enjoyed staying amenities place,facilities
living space comfortable necessaries,facilities
live cabin surrounded mountains,location
theres common room kitchen make dinner ordered form hosts excellent chance taste real georgian cuisine,facilities
aleqsandres cottages encountered piece beauty tranquility surrounded breathtaking views georgian mountains changing colors almost every hour thus making even magical,location
spent two beautiful weeks walking hiking reading resting enjoying life,location
cabin great view wushuba snow mountain,facilities
property clean hosts friendly helpful,cleanliness
nice location neat clean,cleanliness
really nice apartment well equipped may need comfortable stay,facilities
everything perfect comfortable,facilities
excellent house location view,facilities
amazing view kazbegi mountain superior location supermarket traditional georgian bakery nearby,location
close batumi boardwalk,location
blocks away carrefour,location
many small stores restaurants within walking distance,location
hes always welcoming friendly always touch helps issues,cleanliness
perfect hotel good view great location nice apartment,location
comfortable room near sea,location
number hour markets located nearby well cafeteria restaurant,location
great view location overall recommend nice stylish place great view balcony th floor friendly host,cleanliness
great location beautiful view cozy room great place stay,facilities
near shops everything need life,location
stayed green apartment week felt comfortable,facilities
location th floor briefly need getting used especially view balcony great,facilities
plenty space everything super organized clean,cleanliness
